cultivar,registered,perianth,corona,orig_name,date,synonym,awards,seed_parent,pollen_parent,description
"Design","2 (a)","Y","O","Warnaar & Co.","pre1952","none","AM Haarlem  1952 ","‘Carbineer’","‘Westminster’",""
"Desir�","2 (b)","W","O","Barr & Sons","pre1941","none","none","","",""
"Desna","9","W","","A.M. Wilson","pre1913","none","none","","",""
"Desperado","1 (a)","Y","Y","H. or R.O. Backhouse","pre1936","none","none","’King Alfred’","’Harvest’",""
"Destiny","3 (b)","W","","A.M. Wilson","pre1930","none","none","","",""
"Detroit","1 (b)","W","","G. Haver","pre1930","none","AM Haarlem  1930 ","","",""
"Deud","2","Y","","","","none","none","","",""
"Devenagh","2 (c)","W","W","G.L. Wilson","pre1942","none","none","‘Niphetos’","‘Scapa’",""
"Dever","2 (b)","W","","H.P. Zwetsloot","pre1939","none","AM Haarlem  1939 ","","",""
"Devon","2 (a)","Y","","Mrs R.S. Cobley","pre1937","none","none","","",""
"Devotion","1 (a)","Y","Y","G. Lewis","pre1940","none","none","‘Renown’","‘Beersheba’","Resembles a larger-flowered `Royalist'"
"Devoto","1 (a)","Y","Y","J. Gerritsen & Son","pre1934","none","none","","","Fl. soft yellow; corona slightly darker in tone"
"Dewdrop","3 (b or c)","W","","Mrs R.O. Backhouse","pre1904","none","AM 1904 ","","","Corona sulphur"
"Dewess","5","","","","pre1913","none","none","","",""
"Dhulin","2 (b)","W","","A. White","pre1946","none","none","","",""
"Diadem","1","W","","","","none","none","","",""
"Diadem","3 (b)","W","YYR","G.H. Engleheart","pre1898","none","AM 1898 ","","","Perianth segments creamy yellow; corona very shallow, yellow, with a sharply defined band of bright red at rim"
"Diadem","8","W","Y","","pre1850","none","none","","","Corona rich yellow"
"Diamant�","3","W","","","pre1950","none","none","","",""
"Diamond","5","W","W","W.F.M. Copeland","pre1906","none","none","","","Fls often 2 per stem, pure white; perianth segments spreading, overlapping; corona with mouth incurved"
"Diana","3 (b or c)","W","Y","G.H. Engleheart","pre1900","none","AM 1900 ","","","Fl. large, rounded; perianth segments creamy white; corona large disc-shaped, pale cowslip yellow"
"Diana","8","Y or W","Y or W","","","none","none","","",""
"Diana Mary","2 (a)","Y","","de Graaff Bros","pre1937","none","none","","",""
"Diane","8","","","","pre1798","none","none","","","Fl. pale yellow or white"
"Dick","1 (b)","W","Y","de Graaff Bros","pre1908","none","FCC Haarlem  1908 FA Haarlem  1925 ","","",""
"Dictator","2 (b)","W","","W. Welchman","pre1908","none","none","","",""
"Dictum","0","","P","Alister Clark","pre1948","none","none","","",""
"Dido","0","","P","Alister Clark","pre1948","none","none","","",""
"Dido","3 (b)","W","R","W.F.M. Copeland","pre1908","none","none","","","Perianth segments rounded; corona dark orange-red"
"Dido","7","","","J.C. Williams","pre1949","none","none","","",""
"Dieppe","3 (b)","W","R","J.L. Richardson","pre1944","none","none","‘Coronach’","‘Forfar’","Fl. rounded; perianth segments very broadly ovate, blunt, prominently mucronate, pure white, spreading, of thick and waxy substance, overlapping half; the inner segments rounded at apex, only very slightly mucronate, a little inflexed; corona shallow bowl-shaped, heavily ribbed, intense deep red, mouth split in places and overlapping, with rim crumpled. Late"
"Dierdre","9","W","GOR","","","none","none","","",""
"Dignity","1 (c)","W","W","W. Welchman","pre1908","none","none","","",""
"Dimity","2 (b or c)","W","","Mrs R.S. Cobley","pre1932","none","none","","",""
"Dinard","2 (b)","W","","Barr & Sons","pre1939","none","none","","",""
"Dinas","2 (a)","Y","","A.M. Wilson","pre1950","none","none","","",""
"Ding Dong","1 (c)","W","W","M.P. Williams","pre1937","none","none","","",""
"Dingle","3 (b)","W","","J.L. Richardson","pre1937","none","none","‘White Sentinel’","‘Coronach’",""
"Dingo","2 (a)","Y","Y","G.L. Wilson","pre1923","none","none","","","Fl. bright yellow; corona expanded"
"Dink","2","W","YYO","","","none","none","","",""
"Dinkie","3 (a)","Y","GYR","F.H. Chapman","pre1927","none","AM(c)  1930 FCC(e)  1935 *AM(g)  1936 ","‘Princess Mary’","’Crimson Braid’","Perianth segments very broad, truncate, slightly mucronate, pale greenish yellow, spreading or a little reflexed, with margins narrowly incurlng at apex, of waxy substance, overlapping half; the inner segments narrower, more nearly ovate, spreading, with margins wavy or slightly incurved; corona bowl-shaped, narrowly ribbed, darker in tone than the perianth, with green at base and a well-defined narrow band of red at rim, mouth split in places and overlapping, frilled, rim minutely crenate. Mid-season. 2n=21"
"Dinofor","2 (a)","Y","","Miss K.M. Hinchliff","pre1935","none","none","","",""
"Dinton Red","9","W","OOR","G.H. Engleheart","pre1923","none","AM(e)  1923 ","","","Fls. occasionally 2 per stem, 76 mm wide; perianth segments clear white, reflexed, overlapping half; corona very shallow bowl-shaped, dark greenish orange, shading to dark red at rim. Mid-season to late"
"Diogenes","1 (b)","W","Y","P.D. Williams","pre1907","none","none","","","Fl. 95 mm wide, creamy white; corona opening pale lemon yellow"
"Diolite","2 (a)","Y","YYO","A.M. Wilson/Miss G.Evelyn","pre1930","none","AM(e)  1932 AM Haarlem  1938 ","‘Hospodar’","A.M.Wilson sdlg","Fl. more than 108 mm wide; perianth segments broadly ovate, rounded at apex, fairly prominently mucronate, primrose yellow, spreading, smooth, with broad midrib showing, overlapping one-third to a half; the inner segments reflexed in upper half, somewhat creased, with margins wavy and sometimes nicked; corona bowl-shaped, ribbed, golden yellow, with a band of brownish orange at rim, mouth a little frilled, rim crenate and slightly flanged. Early to mid-season"
"Diomed","1 (a)","Y","Y","Cartwright & Goodwin","pre1923","none","none","","",""
"Dione","5","W","W","H. Backhouse","pre1913","none","none","‘Minie Hume’","{N. triandrus} var. {loiseleurii}","Fl. 89 mm wide, snowy white; corona expanded and ribbed"
"Dionysius","1 (a)","Y","Y","de Graaff Bros","pre1927","none","none","","",""
"Diotima","1 (a)","Y","Y","de Graaff Bros","pre1927","none","none","","",""
"Diplomat","2 (b)","W","Y","A.M. Wilson","pre1937","none","AM(e)  1937 ","","","Fl. 95 mm wide; perianth segments very broadly ovate, blunt, fairly prominently mucronate, greenish white, a little inflexed, smooth, overlapping one-third to a half; the inner segs a little narrower, reflexed in upper half, slightly twisted or with margins wavy, somewhat creased; corona cylindrical, smooth, lemon yellow, faintly flushed apricot orange, mouth flared, even, with rim notched and crenate"
"Disc","3 (b or c)","W","","G.H. Engleheart","pre1903","none","AM 1903 ","","",""
"Discord","9","W","","","","none","none","","",""
"Discovery","1 (b)","W","","W. Welchman","pre1908","none","none","","",""
"Discus","3 (b)","W","GYY","H. Backhouse","pre1913","none","none","","","Perianth segments ivory white, overlapping; corona very shallow, citron yellow, with dull green at base and a suffusion of buffy apricot yellow towards rim. Tall"
"Display","2 (a)","Y","","Sir C.H. Cave","pre1928","none","none","","",""
"Disraeli","1 (a)","Y","Y","G.L. Wilson","pre1931","none","none","‘Madame de Graaff’","‘King Alfred’",""
"Distich","9","W","YYO","F.H. Chapman","pre1914","none","AM(e)  1915 ","","","Perianth segments rich creamy white; corona with a broad rim of scarlet-orange"
"Distingu�","3 (c)","W","W","H. Backhouse","pre1923","none","none","","","Fl. white; corona slightly tinged pale lemon. Tall"
"Ditty","9","W","GYR","F.H. Chapman","pre1914","none","AM(e)  1926 ","‘Socrates’","‘Acme’","Perianth segments very broadly ovate, mucronate, spreading, with margins incurling, overlapping half; the inner segments square-shouldered at base, with margins sometimes more strongly incurling; corona disc-shaped, narrowly ribbed, greenish yellow, with green at base and a broad band of brownish red at rim, mouth more or less even, rim minutely crenate"
"Diva","2 (b)","W","Y","G.L. Wilson","pre1935","none","none","‘Madame de Graaff’ hybrid","‘Naxos’",""
"Dives","1 (a)","Y","Y","E.M. Crosfield","pre1908","none","none","","",""
"Divot","2 (b)","W","Y","P.D. Williams","pre1935","none","none","","",""
"Dixie Lass","2 (b)","W","","de Graaff Bros","pre1948","none","none","","",""
"Dodman","1 (a)","Y","Y","The Brodie of Brodie","pre1930","none","none","","",""
"Dolce","5","W","W","A.E. Lowe","pre1927","none","none","","",""
"Dollar","3","W","YYR","","pre1918","none","none","","","Perianth segments pure white; corona yellow, with red at rim"
"Dolores","2 (a)","Y","","Cartwright & Goodwin","pre1910","none","none","","",""
"Dominant","1 (c)","W","W","Australian or New Zealand origin","pre1927","none","none","","","Fl. 120 mm wide; perianth segments regular, overlapping; corona ivory white, with green at base"
"Dominator","1 (a)","Y","Y","G. Lubbe & Son","pre1948","none","AM Haarlem  1948 ","‘Hindenburg’","‘Unsurpassable’","2n=28"
"Dominick","2 (a)","Y","Y","P.D. Williams","pre1925","none","AM(e)  1925 ","","","Fl. soft yellow; perianth segments broadly ovate, with slight white mucro, spreading, with broad midrib showing and margins incurled at apex; corona funnel-shaped, slightly darker in tone than the perianth segments, mouth widely expanded, with rim rolled and crenate"
"Dominion","1 (c)","W","W","W. Welchman","pre1923","none","none","","",""
"Dominion","2 (a)","Y","Y","F.H. Chapman","pre1914","none","none","","",""
"Don Carlos","8","W","O","","pre1780","none","none","","",""
"Don Juan","1 (a)","Y","Y","The Brodie of Brodie","c.1908","none","none","‘Santa Maria’","‘King Alfred’","Fl. very deep yellow; perianth segments twisted"
"Don Pedro","1 (a)","Y","Y","Barr & Sons","pre1923","none","none","","",""
"Donald","1 (a)","Y","Y","W. Poupart","pre1914","none","none","","",""
"Donatello","2 (a)","Y","","de Graaff Bros","pre1927","none","none","","",""
"Donation","2 (d)","Y","W","G.H. Johnstone","pre1950","none","none","","",""
"Donax","2 (a)","Y","O","Mrs R.O. Backhouse","pre1910","none","none","","","Perianth segments bright golden yellow; corona large, expanded, reddish orange"
"Donegal","2 (a)","W","WWR","C. Dawson","pre1908","none","none","","","Corona with a sharply defined band of red at rim"
"Donna","0","","","New Zealand origin","pre1940","none","none","","",""
"Donside","2 (a)","","","Seymour Cobley Ltd","pre1954","none","none","","",""
"Dora","2?","W","","","","none","none","","",""
"Dora","3 (b or c)","W","","","pre1908","none","none","","",""
"Dora Fell","2 (b)","W","R","West & Fell","pre1935","?`Dora'","none","","","Perianth segments creamy white; corona frilled, brilliant red"
"Dorade","2 (c)","W","W","W. Jackson Jr","1956","none","none","‘Whitemark’","‘Ludlow’",""
"Dorade","8","Y","Y","","pre1798","none","none","","",""
"Dorado","2 (b)","W","","W.A. Grace","pre1938","none","none","","",""
"Dorcas","1 (b)","W","Y","Barr & Sons","pre1908","none","none","","","Perianth segments creamy white, slightly twisted; corona expanded, pale canary yellow, frilled"
"Dorcas","7","Y","Y","A.M. Wilson","pre1915","none","none","","","Perianth segments rich deep yellow; corona a little darker in tone"
"Dor�","3 (b)","W","Y","A.E. Lowe","pre1927","none","none","","",""
"Doreen","1 (a)","Y","Y","?W.F. Mitchell","pre1935","none","none","","",""
"Doreen","3 (b)","W","","C. Dawson","pre1908","none","none","","",""
"Dorian","2 (b)","W","","Barr & Sons","pre1952","none","none","","",""
"Dorinda","3 (b)","W","R","J.T. Gray","pre1949","none","none","","","Corona deep brick red"
"Dorine","2 (b)","W","O","van Zonneveld Bros & Philippo","pre1923","none","AM Haarlem  1923 FCC Haarlem  1924 ","","","Perianth segments creamy white; corona large, expanded, reddish orange"
"Doris","2 (a)","Y","","G.H. Engleheart","pre1903","none","none","","",""
"Doris","9","W","","","pre1915","none","none","","",""
"Dorothea","2 (b)","W","P","?Campbell Duncan","c. 1959","none","none","‘Rosario’","Pink Monarch’",""
"Dorothy","3 (b)","W","O","A.R. Goodwin","pre1910","none","none","","","Fl. facing down; perianth segments creamy white, separated; corona cup-shaped, dark reddish orange. Resembles an improved `Firebrand'"
"Dorset","1 (a)","Y","Y","H.J. Poole Sr","pre1927","none","none","","",""
"Dosorus","2","","","?G. Lubbe & Son","pre1930","none","none","","",""
"Dosoris","3 (b)","W","O","P.D. Williams","pre1910","`Mahdi'","AM Haarlem  1914 ","","","Fls 2 per stem; perianth segments slightly reflexed; corona shallow, salmon orange, tinged scarlet"
"Dorus","2","W","O","W. Jackson Jr","1966","none","none","‘Jo’","‘Arbar’",""
"Doss Cowie","2 (b)","W","P","H.T. Dettmann","","none","none","","","Fl. large; perianth segments white, of good substance; corona deep lavender pink"
"Dot","1 (a)","Y","Y","R. Gibson","pre1931","none","none","","",""
"Doublet","4","","","W.A. Watts","pre1929","none","none","","",""
"Doubloon","4","","","","","none","none","’Telamonius Plenus’","’Ornatus’",""
"Doubtful","3 (a)","Y","O","J.L. Richardson","pre1952","none","none","‘Bahram’","‘Sun Chariot’","Perianth segments clear yellow, spreading, smooth; corona intense reddish orange"
"Douceur","2 (b or c)","W","","P.D. Williams","pre1931","none","none","","",""
"Doule","2 (a)","W","","West & Fell","pre1938","none","none","","",""
"Doumer","1 (a)","Y","Y","J. Verduyn","pre1944","none","none","","",""
"Doushinka","3 (b)","W","","R. & G. Cuthbert","pre1938","none","none","","",""
"Dove","2?(b)","W","Y","E. Leeds","pre1877","Incomparabilis Albus `Dove'Incomparabilis Albus `Nanus'","none","","","Dwarf"
"Dove Wings","6","W","Y","C.F. Coleman","pre1949","none","AM(e)  1949 *AM(g)  1954 *FCC(g)  1973 *AM(p)  1985 AGM 1993 AM Haarlem  1961 ","‘Mitylene’","{N. cyclamineus}","Fl. 76 to 85 mm wide; perianth segments broadly ovate or somewhat oblong, blunt or squarish at apex, prominently mucronate, creamy white, reflexed, plane, with midrib showing, overlapping one-third to a half; the inner segments more narrowly ovate, not noticeably mucronate, with margins slightly wavy; corona cylindrical or narrowly funnel-shaped, loosely ribbed, between brilliant yellow 9C and vivid yellow 9B, mouth very slightly expanded, frilled, with rim crenate. Early. 2n=21"
"Dovedale","2 (b or c)","W","","C.B. Blampied","pre1929","none","none","","",""
"Dover","2 (c)","W","W","F.A. Secrett","pre1948","none","none","","",""
"Downham","1 (b)","W","","R.H. Bath","pre1950","none","none","","",""
"Downcast","1 (c)","W","W","G.P. Haydon","pre1914","none","none","","",""
"Downas","2 (a)","Y","","The Brodie of Brodie","pre1930","none","none","‘Sunstar’ hybrid","",""
"Draco","2 (a)","Y","","R.O. Backhouse","pre1934","none","none","","",""
"Dracula","2 (a)","Y","","W.A. Grace","pre1938","none","none","","",""
"Dragon Fly","4","","","?J.N. Hancock & Co.","pre1949","none","none","","",""
"Dragon Fly","5","","","W.F.M. Copeland","pre1908","none","none","","",""
"Dragoon","3 (b)","W","R","J.C. Williams","pre1913","none","none","","","Corona large, expanded, bright vermilion red. Tall"
"Dragos","2 (a)","Y","O","D. Blanchard","pre1949","none","none","‘Seraglio’","?‘Hades’",""
"Drake","1 (a)","Y","Y","P.D. Williams","pre1927","none","none","","","Fl. rich yellow; perianth segments deeply overlapping; corona rim widely flanged"
"Dream","1 (c)","W","W","R.H. Bath","pre1908","none","none","","",""
"Dreamgift","3 (b)","W","","J.E. Exley","pre1950","none","none","","",""
"Dreamland","1 (b)","W","Y","W. Welchman","pre1908","none","none","","","Perianth segments narrow, acute, tinged green at base; corona pale yellow, with rim rolled"
"Dreamlike","2 (b)","W","P","Mrs C.O. Fairbairn","","none","none","","",""
"Dreen","2 (b)","W","P","W.J. Dunlop","pre1949","none","none","‘White Sentinel’","‘Evening’","Perianth segments pure white; corona pale pink"
"Dresden","9","W","O","G.H. Engleheart","pre1910","none","none","","","Perianth segments broad and roundish, only slightly mucronate, milk white, spreading, plane, overlapping half; the inner segments a little inflexed; corona very shallow, orange, with a broad band of scarlet-orange at rim"
"Dreyfus","0","","","Davies","pre1900","none","none","","",""
"Drift","1 (c)","W","W","R.V. Favell","pre1940","none","none","‘Irish Pearl’","‘Gyrfalcon’",""
"Dromina","1 (c)","W","W","","pre1914","none","none","","",""
"Dropmore","1 (c)","W","W","G.P. Haydon","pre1908","none","none","‘Monarch’","‘Madame de Graaff’ ad",""
"Druid","9","W","","A.M. Wilson","pre1908","none","none","","",""
"Druid","9","W","","G.L. Wilson","pre1934","none","none","","",""
"Drusiform","2 (b or c)","W","","P.D. Williams","pre1931","none","none","","",""
"Drusilla","1 (c)","W","W","Barr & Sons","pre1914","none","none","","","Fl. 82 mm wide; perianth segments creamy white, with margins recurved, overlapping at base only; corona opening creamy white, becoming milk white, mouth expanded and frilled, with rim flanged. Mid-season to late"
"Drusilla","2 (a)","Y","","A.H. Ahrens","pre1946","none","none","","",""
"Dryad","3 (b or c)","W","W","G.H. Engleheart","pre1903","none","none","","","Fl. large, ivory white; perianth segments broad. Resembles a larger `Mrs Langtry'"
"Dubloon","4","Y","Y","G.H. Engleheart","pre1907","none","none","‘Telamonius Plenus’","’Ornatus’","Fl. bright yellow; corona segments darker in tone than the perianth or petaloid segments"
"Ducat","1 (a)","Y","Y","G.H. Engleheart","pre1907","none","none","","",""
"Ducat d'Or","8","Y","Y","","pre1851","none","none","","",""
"Ducaton","1 (a)","Y","Y","C.G. van Tubergen","pre1930","none","AM Haarlem  1930 ","","",""
"Duchanel","1 (a)","Y","Y","de Graaff Bros","pre1923","none","none","","",""
"Duckwing","0","","","Thompson","pre1908","none","none","","",""
"Duessa","2 (b)","W","Y","A.M. Wilson","pre1914","none","none","","","Corona rich yellow"
"Duet","5","W","W","Heathcote Bulb Nursery","pre1961","none","none","","","Fls 2 per stem, pure white"
"Dulce","0","","","E.M. Crosfield","pre1914","none","none","","",""
"Dulcetta","8","","","G.H. Johnstone","pre1949","none","none","‘Dulcimer’","{N. tazetta}",""
"Dulcianna","2 (b)","W","Y","JohnGray","pre1948","none","none","","",""
"Dulcimer","9","W","GYO","G.H. Engleheart","pre1913","none","AM(g)(c)  1923 AM Haarlem  1927 ","","","Perianth segments squarish at apex, prominently mucronate, milk white, spreading, plane, regular, overlapping half; the inner segments narrower; corona small disc-shaped, ribbed, deep yellow, with green at base and a broad band of orange at rim. Tall. Late. 2n=28"
"Dulcinea","5","","","Sir A.P.W. Thomas","pre1930","none","none","","",""
"Dulsie","2","W","W","The Brodie of Brodie","c.1932","none","none","‘Everest’","‘White Emperor’","Fl. pure white; perianth segments spreading, plane, smooth; corona slender, smooth, with rim narrowly flanged"
"Dulve","1 (c)","W","W","P.D. Williams","pre1930","none","none","","",""
"Duna","8","","","R.A. van der Schoot","pre1931","`Lady Boreel'","none","","",""
"Duna","2 (b)","W","P","W. Jackson Sr","1945","none","none","‘Leto’","‘Dawnglow’",""
"Dunaird","2 (b)","W","P","G.L. Wilson","","none","none","‘Mitylene’","‘Evening’",""
"Duncairn","1 (a)","Y","Y","G.L. Wilson","pre1945","none","none","","","Fl. deep gold; corona rim flanged and dentate"
"Duncan","2 (a)","Y","Y","P.D. Williams","pre1927","none","*AM(g)(m)  1927 *(Gulval)AM(m)  1935 ","","","Fl. large, facing slightly downwards; perianth segments broadly ovate, only slightly mucronate, sulphur yellow, spreading, overlapping half; the inner segments somewhat spathulate, a little inflexed, twisted; corona funnel-shaped, primrose yellow, frilled, with rim loosely rolled"
"Dundee","3 (a)","Y","","P.D. Williams","pre1935","none","none","","",""
"Dundonald","1 (a)","Y","Y","G.L. Wilson","pre1945","none","none","","",""
"Dunfane","2 (c)","W","W","W.J. Dunlop","pre1950","none","none","‘Niphetos’","‘Truth’","Fl. pure white"
"Dungannon","1 (a)","Y","Y","W.J. Dunlop","pre1949","none","none","‘Principal’","‘Crocus’","Fl. mid-yellow; corona frilled"
"Dungiven","1 (a)","Y","Y","G.L. Wilson","pre1937","none","AM(e)  1951 *AM(g)  1952 ","‘Clarion’","‘Lord Roberts’","Fl. 118 mm wide; perianth segments broad, blunt, brilliant yellow 12B, slightly inflexed, smooth, overlapping half; the inner segments narrower and more nearly acute, a little inflexed, somewhat twisted; corona straight-sided, brighter in tone (12A) than the perianth, mouth expanded and lightly ribbed, rim flanged and deeply notched"
"Dunkeld","2 (a)","Y","O","The Brodie of Brodie","c.1934","none","*HC(p)  1986 ","‘Seraglio’","‘Killigrew’","Fl. 95 mm wide; perianth segments broadly ovate, blunt or rounded at apex, slightly mucronate, between light greenish yellow 5C and the even lighter 5D, tinged with a darker tone (5B), spreading, concave either side of the broad midrib, smooth, overlapping half; the inner segments more narrowly ovate, a little inflexed, with margins recurved in lower third; corona short broad funnel-shaped, ribbed, between vivid orange 28B and a darker tone (28A), paling to yellow-orange (23A) towards base, mouth straight, split in places and overlapping, loosely frilled, with rim irregularly notched and crenate. Mid-season. 2n=28"
"Dunkirk","2 (b)","W","","Barr & Sons","pre1937","none","none","","",""
"Dunlavin","2 (c)","W","W","J.L. Richardson","pre1944","none","none","‘Niphetos’","‘Kanchenjunga’","Fl. forming a double triangle; perianth segments broadly ovate, blunt, prominently mucronate, pure white, spreading, plane, overlapping half; the inner segments more narrowly ovate, more nearly acute, somewhat creased; corona funnel-shaped, opening pale primrose yellow, becoming almost white, mouth expanded, ribbed, frilled, rim crenate and widely flanged. Mid-season"
"Dunlewey","2 (c)","W","W","G.L. Wilson","pre1934","none","AM(e)  1938 *HC(g)  1952 *AM(g)  1953 ","‘Mitylene’","‘Kantara’","Fl. 108 mm wide, white, tinged green; perianth segments broadly ovate, not prominently mucronate, spreading, plane, overlapping one-third; the inner segments more narrowly ovate, twisted; corona funnel-shaped, ribbed, mouth only slightly expanded, frilled, rim very slightly flanged and dentate. 2n=28"
"Dunloe","2 (b)","W","P","J.L. Richardson","pre1937","none","none","‘White Sentinel’ self pollinated","","Perianth segments very broadly ovate, blunt or squarish at apex, slightly mucronate, spreading, with margins sometimes incurling, overlapping one-third to a half; the inner segments more narrowly ovate, inflexed at base, recurved in upper part; corona cylindrical, ribbed, very pale pink, mouth expanded, even, broadly and obscurely lobed, rim striate and widely rolled. Mid-season"
"Dunloy","2 (b)","W","P","G.L. Wilson","pre1945","none","none","‘Mitylene’","‘Evening’","Perianth segments pure white; corona pale shell pink"
"Dunluce","1 (c)","W","W","G.L. Wilson","pre1937","`Glenariff'","none","‘Beersheba’","?‘White Knight’","Fl. ice white; corona with green tones at base"
"Dunmore","2 (b)","W","Y","J.L. Richardson","pre1939","none","none","‘Bodilly’","‘Crocus’","Perianth segments white; corona deep lemon yellow, frilled"
"Dunphail","3 (b)","W","","The Brodie of Brodie","c.1938","none","none","‘Mozart’","‘Galopin’",""
"Dunrobin","1 (a)","Y","Y","West & Fell","pre1933","none","none","","",""
"Dunrod","1","Y","Y","Ballydorn Bulb Farm","c. 1980","none","none","‘Preamble’ hybrid","",""
"Dunsany","1 (b)","W","","R.H. Bath","pre1929","none","none","","",""
"Dunsilly","2","Y","R","W.J. Dunlop","c. 1968","none","none","","",""
"Duplex","8","Y","Y","Dutch origin","pre1922","none","none","","","Perianth segments opening sulphur yellow, becoming light yellow; corona light yellow"
"Durbar","1 (a)","Y","Y","N.Y. Lower","pre1913","none","none","’Glory of Noordwijk’","’Cleopatra’",""
"Durgan","1 (a)","Y","Y","R.F. Calvert","pre1935","none","none","","",""
"Duriel","1 (c)","W","W","W.A. Grace","pre1936","none","none","","",""
"Durness","1 (a)","Y","Y","J. Hall","pre1930","none","none","","",""
"Dusart","1 (a)","Y","Y","M. van Waveren & Sons","pre1907","none","none","","",""
"Dusk","2 (b)","W","","H.A. Brown","pre1938","none","none","","",""
"Dusky","0","","","","pre1913","none","none","","",""
"Dutch Gold","1 (a)","Y","Y","M. van Waveren & Sons","pre1933","none","FA Haarlem  1933 ","‘King Alfred’ hybrid","",""
"Dutchman","1 (a)","Y","Y","Cartwright & Goodwin","pre1916","none","none","","",""
"Duyf","8","W","W","","pre1807","none","none","","",""
"Dynamo","3 (b)","W","","de Graaff Bros","pre1930","none","AM Haarlem  1934 ","","",""
"E.G.Quick","2 (a)","Y","Y","C. Dawson","pre1924","none","none","","","Perianth segments primrose yellow, twisted; corona ribbed, bright yellow, frilled. Resembles a larger-flowered `Frank Miles'"
"E.Lial","0","","","?Slieve Donard Nursery Co.","pre1927","none","none","","",""
"E.T.Cook","1 (b)","W","Y","G.P. Haydon","pre1905","none","none","","","Corona rich chrome yellow"
"Eaglet","4","","","E. & J.C. Martin","pre1916","none","none","","",""
"Earani","2 (b)","W","","A.H. Ahrens","pre1949","none","none","","",""
"Earl Grey","5","Y","Y","G.H. Engleheart","pre1901","none","FCC 1901 ","‘Emperor’","{N. triandrus}","Perianth segments pale primrose yellow, spreading; corona long, soft primrose yellow"
"Early Bird","1 (a)","Y","Y","W.B. Hartland","pre1907","none","none","","",""
"Early Dawn","1 (c)","W","W","Barr & Sons","pre1913","none","none","","",""
"Early Gem","2 (a)","Y","O","G.H. Johnstone","pre1949","none","none","","",""
"Early Gold","1 (a)","Y","Y","Miss K.M. Hinchliff","pre1927","none","none","","",""
"Early Mist","2 (c)","W","W","J.L. Richardson","pre1952","none","none","‘Glendalough’","‘Ardclinis’","Fl. pure white; perianth segments ovate, blunt, very slightly mucronate, flat, smooth, regular, overlapping one-third; the inner segments more narrowly ovate and acute; corona trumpet-shaped, lightly flanged at expanded mouth, rim notched and rolled"
"Early Morn","2 (b)","W","WWP","H.R. Meyer","pre1932","none","none","‘Leslie Hulbert’","‘Fortune’","Fl. ivory white; corona with a sharply defined band of deep dull pink at rim, frilled"
"Easter","9","W","","Barr & Sons","pre1907","none","none","","",""
"Easter Day","2 (a)","Y","","?H.Backhouse","pre1916","none","none","","",""
"Easter Joy","1 (a)","Y","Y","","pre1953","none","AM Haarlem  1953 TGA Haarlem  1956 ","","",""
"Easthope","2 (b)","W","","R.H. Bath","pre1933","none","none","","",""
"Eau de Nil","2 (b or c)","W","","Mrs R.O. Backhouse","pre1914","none","none","","",""
"Eccles","3 (b)","W","Y","W. Backhouse","pre1869","Barrii Albidus `Eccles'","none","","","Perianth segments sulphur white; corona tinged orange"
"Echo","1 (c)","W","W","de Graaff Bros","pre1910","none","none","","",""
"Echo","2","Y","YRR","G. Lewis","pre1940","none","none","‘Moonfleet’","‘Fortune’",""
"Eckener","1 (a)","Y","Y","G. Haver","pre1930","none","AM Haarlem  1930 ","","",""
"Eclipse","2 (a)","Y","Y","W. Backhouse or E.Leeds","pre1869","Incomparabilis Concolor `Eclipse'Incomparabilis Concolor `Grandiflorus'","none","","",""
"Ecola","2 (a)","Y","","E.C. Powell","pre1949","none","none","‘Dawson City’ self pollinated","‘Saint Egwin’",""
"Ecru","2 (b or c)","W","","E.M. Crosfield","pre1907","none","none","","",""
"Ecstasy","1","W","W","","","none","none","","",""
"Ecstasy","2 (b)","W","W","Oregon Bulb Farms","pre1946","none","none","","",""
"Ecstasy","3","Y","","","","none","none","","",""
"Ecstasy","9","W","","","pre1914","none","none","","",""
"Ecuador","2 (a)","Y","","A.M. Wilson","pre1947","none","none","","",""
"Edda","2 (b)","W","R","Mrs R.O. Backhouse or de Graaff Bros","pre1930","none","AM Haarlem  1930 ","","",""
"Eddington","2 (b or c)","W","","","pre1913","none","none","","",""
"Eddystone","3 (b)","W","","A.M. Wilson","pre1938","none","none","","",""
"Edelweiss","5","","","C.G. van Tubergen","pre1914","none","none","","",""
"Eden","0","","","?Sir A.P.W. Thomas","pre1915","none","none","","",""
"Edenhope","1 (b)","W","Y","West & Fell","pre1935","none","none","","","Corona lemon yellow"
"Edensor","3 (a)","Y","","D.B. Milne","pre1952","none","none","","",""
"Edgerton","2 (a)","Y","","Warnaar & Co.","pre1943","none","AM Haarlem  1943 ","","",""
"Edgeworth","1 (a)","Y","Y","G.H. Furness","pre1934","none","none","","",""
"Edipus","0","","P","Alister Clark","pre1948","none","none","","",""
"Edison","1 (b)","W","Y","R.A. van der Schoot","pre1913","none","AM Haarlem  1913 ","","","Perianth segments pure white; corona rich yellow"
"Edith Amy","1 (c)","W","W","Mrs F.E.W. Hanger","pre1952","none","*AM(g)  1952 ","","","Fl. rounded, 108 mm wide; perianth segments broadly ovate, only slightly mucronate, white, spreading, overlapping half; corona cylindrical, creamy white, with rim flanged and deeply crenate"
