cultivar,division,perianth,corona,orig_name,date,synonym,awards,seed_parent,pollen_parent,description
Nestor,2,WWY,Y,Barr & Sons,1908-03-30,none,none,"","","Perianth segments creamy white, flushed canary yellow at base; corona brilliant golden yellow, neatly frilled"
Nestor,8,Y,Y,"",1798-03-30,none,none,"","",Fl. pale yellow
Neuralia,1,W,W,N.Y. Lower,1933-03-30,none,none,‘Mrs Robert Sydenham’,‘Conqueror’,""
Nevana,2,W,P,W. Jackson Jr,1956-03-30,none,none,Sdlg 86/51,’Ceram’,""
Nevis,1,W,W,The Brodie of Brodie,,none,AM(e)  1924 ,‘King Alfred’ x ’Glory of Noordwijk’,1 W-W,"Fl. opening a pale bicolor, soon becoming ivory or milk white; perianth segments ovate, scarcely mucronate, spreading, overlapping one-third; the inner segments inflexed, with margins wavy; corona cylindrical, smooth, with rim rolled and crenate"
Nevra,2,W,W,G.L. Wilson,1943-03-30,none,none,"","",""
New Deal,2,W,O,Warnaar & Co.,1946-03-30,none,none,"","",""
Nanus,2,W,Y,"",,none,none,"","",""
Nanus,3,Y,Y,"",,none,none,"","",""
Delphi,3,W,GWP,G.H. Johnstone,1960-03-30,none,none,"","",""
Feature,2,Y,YYR,G.H. Johnstone,1960-03-30,none,none,"","",""
Fortilly,2,Y,YYR,G.H. Johnstone,1960-03-30,none,none,‘Fortune’,‘Porthilly’,""
Frolic,2,W,YYR,G.H. Johnstone,1960-03-30,none,none,"","",""
Funface,2,Y,YYO,G.H. Johnstone,1960-03-30,none,none,‘Mozart’,‘Fortune’,""
New Gold,2,Y,Y,G. Lubbe & Son,1950-03-30,none,AM Haarlem  1950 ,"","",""
New Grange,2,W,W,J.L. Richardson,1949-03-30,none,none,"","",""
New Hope,3,W,YYR,Warnaar & Co.,1953-03-30,none,AM Haarlem  1953 ,"","","Fl. rounded; perianth segments glistening white, plane"
New Moon,3,W,WWO,G.L. Wilson,1930-03-30,none,none,’Mystic’ self pollinated,"","Perianth segments pure white, slightly reflexed; corona shallow, widely expanded, pure white, with a narrow band of pale golden orange at rim. Late"
New York,8,W,O,A. Frylink & Sons,1928-03-30,none,AM Haarlem  1928 ,"","",Corona soft orange
Newlaid,2,W,YYO,Sir F.C. Stern,1953-03-30,none,none,"","","Perianth segments pure white, spreading; corona rich egg yellow, stained deep apricot orange at rim, frilled. Mid-season"
Newtimber,2,W,GYY,Sir F.C. Stern,1952-03-30,none,none,"","","Corona lemon, with green at base and a slightly darker tone of yellow at rim"
Next Door,2,W,P,Mrs E. Murray,,none,none,"","",""
Ngaire,2,W,Y,W.E. Weightman,1936-03-30,none,none,"","","Perianth segments deeply overlapping; corona lemon yellow, with a darker tone at rim"
Niagara,1,W,W,G.H. Engleheart,1931-03-30,none,none,"","",""
Niantic,9,W,GYO,E.C. Powell,1946-03-30,none,none,‘Minuet’,?‘Lord Wellington’,2n=28
Nigeria,2,Y,YYO,J.L. Richardson,1942-03-30,none,none,‘Porthilly’,‘Carbineer’,"Perianth segments broadly ovate, clear yellow; corona large, golden yellow, shading to orange towards mouth, frilled"
Nilkanta,1,W,W,G.L. Wilson,1941-03-30,none,none,‘Kenbane’,‘Kanchenjunga’,"Perianth segments spreading, of waxy substance; corona slender, with rim neatly flanged"
Nillumbik,2,W,YYR,D.V. West,1927-03-30,none,none,"","","Perianth segments creamy white; corona expanded, orange"
Nim,2,W,R,A.M. Wilson,1944-03-30,none,none,"","","Corona disc-shaped, vermilion red"
Nimbus,3,W,O,G.H. Engleheart,1916-03-30,none,none,"","","Fls sometimes 2 per stem; perianth segments acute, glistening white, reflexed; corona dark orange. Late"
Nimrod,2,Y,Y,P.D. Williams,1927-03-30,none,*HC(g)  1936 AM(e)Haarlem  1930 FCFA Haarlem  1936 ,"","","Fl. 114 mm wide, facing slightly downwards; perianth segments clear yellow, with margins a little incurling, slightly creased, overlapping; corona funnel-shaped, golden yellow, with mouth frilled. Mid-season to late. 2n=28"
Nina,2,W,P,A.O. Roblin,1959-03-30,none,none,Sdlg,‘Pink Monarch’,""
Ningana,2,Y,Y,W. Jackson Jr,1965-03-30,none,none,‘Melissa’ x ‘Jobi’,sdlg 65/57,""
Niphetos,2,W,W,P.D. Williams,1927-03-30,none,AM(e)  1932 ,"","","Perianth segments broadly ovate, blunt, prominently mucronate, pure white, spreading, smooth, with midrib showing, margins sometimes incurling, overlapping half; the inner segments slightly more narrowly ovate, shouldered at base, somewhat twisted; corona opening very pale yellow, becoming creamy white, with mouth ribbed and expanded, rim rolled and regularly crenate. 2n=28"
Niree,1,Y,Y,W. Jackson Jr,1954-03-30,none,none,‘Kalman’,‘Melissa’,""
Nirvana,7,W,W,Barr & Sons,1950-03-30,none,none,"","",Fl. pure white. Scented
Nissa,2,W,Y,The Brodie of Brodie,,none,AM(e)  1928 *AM(g)  1950 ,‘Kingdom’ self pollinated,"","Fl. 89 mm wide; perianth segments broadly ovate, blunt, slightly mucronate, spreading, plane, overlapping half; the inner segments a little inflexed, somewhat ribbed; corona funnel-shaped, vivid yellow 9A, with mouth expanded and even, rim shallowly crenate. 2n=28"
Niveth,5,W,W,H. Backhouse,1931-03-30,none,*HC(g)  1936 ,"","","Fls 2 per stem, 76 mm wide, milk white, facing down; perianth segments broadly ovate, lightly reflexed, overlapping; corona short funnel-shaped. Mid-season to late. 2n=21"
No Doubt,2,W,YYP,"",1961-03-30,none,none,"","","Perianth segments pure white; corona large, yellow, with a broad band of deep pink at rim, frilled"
Nobbie,2,W,Y,R. Gibson,1927-03-30,none,none,"","",""
Gloriole,2,W,P,G.H. Johnstone,1960-03-30,none,none,"","",""
Goldsmith,1,Y,Y,G.H. Johnstone,1960-03-30,none,none,"","",""
Nobility,9,W,O,"",1915-03-30,none,AM Haarlem  1915 ,"","",Fl. large
Noble,2,Y,Y,G.H. Engleheart,1907-03-30,none,none,"","",Fl. pale yellow
Noblesse,1,W,W,E.M. Crosfield,1909-03-30,none,none,"","","Corona long, milk white, tinged pale primrose yellow, mouth expanded, with rim deeply notched"
Nocturne,2,W,W,G.L. Wilson,1942-03-30,none,none,‘Marmora’,‘Evening’,""
Noevta,2,W,P,"",,none,none,"","",""
Nogah,2,Y,R,A.O. Roblin,,none,none,‘Maranoa’,‘Tegwith’,""
Nokomis,1,W,W,R.H. Bath,1933-03-30,none,none,"","",""
Nonotuck,3,W,YYR,E.C. Powell,1946-03-30,none,none,"","",""
Nonpareil,3,W,GYR,P.D. Williams,1932-03-30,none,none,"","","Perianth segments very broadly ovate, rounded at apex, prominently mucronate, spreading, a little concave, with margins slightly incurling, overlapping half; the inner segments narrower, sharply angled at shoulder, a little inflexed, with margins wavy; corona small bowl-shaped, ribbed, bright yellow, shading to green at base and with a band of dark red at rim, mouth loosely frilled, rim ragged, with some deeply overlapping folds. Mid-season"
Noon Gold,1,Y,Y,J.N. Hancock & Co.,,none,none,"","",""
Nora,1,W,W,"",,none,none,"","","Perianth segments pure white; corona opening primrose yellow, becoming pale creamy white"
Norman,2,Y,O,Miss G. Evelyn,1927-03-30,none,AM Haarlem  1933 ,"","",Corona intense reddish orange
Hegar,2,W,W,G.H. Johnstone,1960-03-30,none,none,‘Silver Coin’,‘Beersheba’,""
Nathalie,2,W,O,G.H. Johnstone,1960-03-30,none,none,"","",""
Nelamy,2,W,GYY,G.H. Johnstone,1960-03-30,none,none,‘Nelly’,‘May Molony’,""
Neviski,1,Y,Y,G.H. Johnstone,1960-03-30,none,none,‘Nevis’,‘King of the North’,""
M.Dobell,1,W,Y,"",,none,none,"","",""
Nor-Nor,2,Y,YYO,G.L. Wilson,1941-03-30,none,none,"","","Fl. 73 mm wide; perianth segments opening yellow, becoming whitish yellow, with brilliant greenish yellow 7C at base, overlapping only slightly; corona vivid yellow 14B, shading to yellow-orange (21A) at rim, mouth ribbed and straight, rim crenate. Dwarf. Sunproof"
Norseman,2,W,Y,W.A. Grace,1927-03-30,none,none,"","",Mid-season
North Cape,2,W,W,Barr & Sons,1945-03-30,none,none,"","",""
North Pole,2,W,Y,The Brodie of Brodie,,none,none,‘Minnie Hume’,‘Lady Margaret Boscawen’,""
Norway,1,W,Y,H. Bader,1939-03-30,none,FA Haarlem  1939 FCFA Haarlem  1940 EFA Haarlem  1941 ,"","",""
Nosegay,7,Y,O,R.V. Favell,1946-03-30,none,none,‘Warlock’,{N. jonquilla},""
Novelist,1,Y,Y,"",1965-03-30,none,none,"","",Fl. rich yellow
Nowell,1,W,W,R.H. Bath,1929-03-30,none,none,"","",""
Nuage,2,W,W,G.H. Johnstone,1949-03-30,none,none,‘Lady-Day’,‘Truth’,2n=28
Nydia,3,W,W,R.H. Bath,1927-03-30,none,none,"","",""
Nylon Group,10,W,W,D. Blanchard,,none,none,"","",2n=28
Nysa,3,W,O,C. Dawson,1919-03-30,none,none,"","","Perianth segments slightly reflexed; corona expanded, closely ribbed, reddish orange"
Oakhurst,1,W,Y,G.P. Haydon,1910-03-30,none,none,"","","Fl. rounded, 102 mm wide; corona ribbed, soft primrose yellow, tinged sulphur yellow at mouth, with mouth widely expanded and rim flanged"
Oamaru,1,Y,Y,W.D. Burns,1927-03-30,none,none,"","",""
Obelisk,2,W,Y,J.N. Hancock & Co.,,none,none,"","",""
Oberlin,2,Y,Y,W. Jackson Jr,1955-03-30,none,none,‘Kalman’,‘Melissa’,""
Oberon,1,W,W,G.H. Engleheart,1914-03-30,none,none,"","",""
Occident,3,Y,O,G.H. Engleheart,1903-03-30,none,AM 1903 ,"","",Perianth segments soft canary yellow; corona reddish orange
Oceanid,5,W,W,R. Gibson,1927-03-30,none,PC(e)(NZ) 1929,"","",""
Ochre,1,Y,Y,J.N. Hancock & Co.,,none,none,"","",""
Oconee,5,Y,Y,E.C. Powell,1946-03-30,none,none,Unknown,{N. triandrus},""
Odessa,2,Y,YYO,The Brodie of Brodie,,none,AM Haarlem  1936 ,‘Seraglio’,‘Fortune’,"Perianth segments pale yellow; corona large, widely expanded, yellow, with orange at rim, with the rim closely and deeply notched, as if fringed"
Ohakea,1,Y,Y,A. Gibson,1940-03-30,none,PC(e)(NZ) 1940,"","",Fl. bright yellow
Ohisay,1,W,Y,T.H. Piper,,none,none,‘Thera’,‘Lorinna’,""
Okapi,1,Y,Y,G.P. Haydon,1910-03-30,none,none,?‘Princess Mary’ hybrid,"",""
Oklahoma,1,W,Y,Warnaar & Co.,1948-03-30,none,AM Haarlem  1948 ,"","",""
Oldpark,1,W,Y,W.J. Dunlop,1969-03-30,none,none,"","",Corona pale yellow
Olga,1,W,W,Barr & Sons,1927-03-30,none,none,"","",""
Olga,2,W,GYP,J.N. Hancock & Co.,,none,none,"","",""
Olhain,1,W,W,W.A. Watts,1930-03-30,none,none,"","",""
Olive Long,2,W,W,J.N. Hancock & Co.,1949-03-30,none,none,"","",Perianth segments pure white; corona flared
Olivia,3,W,YYR,Sir C.H. Cave,1913-03-30,none,none,‘Lulworth’,‘Horace’,"Perianth segments pure white, slightly reflexed; corona shallow, ribbed, canary yellow, with a broad and well-defined band of scarlet at rim"
Olivine,5,W,W,"",1926-03-30,none,none,"","","Fls often 2 per stem, pure white"
Olympia,1,Y,Y,M. van Waveren & Sons,1900-03-30,none,AM 1900 AM(p)  1914 ,"","",Fl. large; perianth segments bright yellow; corona dark golden yellow. 2n=28
Greenstar,4,G,G,Scottish origin,1956-03-30,none,none,"","","Perianth and other petaloid segments in several whorls, green, touched yellowish green at margins and midrib, fading to yellow when past maturity; the outer whorl oblong, acute, more or less spreading, separated; some inner whorls almost as long as the outer, narrower, inflexed; some only half as long and strongly inflexed. Resembles `Rip van Winkle' but with narrower segments in fewer whorls and with no noticeable corona"
Stars,8,W,Y,"",,none,none,"","",""
Late Sol,8,Y,O,"",,none,none,"","","Fls 8-10 per stem, 25-32 mm wide; perianth segments light yellow; corona fairly broad, orange"
Opare,2,Y,Y,W. Jackson Jr,1957-03-30,none,none,‘Aala’,‘Moque’,""
Opera,9,W,GYO,G.H. Engleheart,1923-03-30,none,AM(e)  1923 ,"","","Fl. rounded; perianth segments very broad, truncate, prominently mucronate, spreading, overlapping half; the inner segments narrower, not noticeably mucronate; corona very shallow, closely ribbed, yellow, with green at base and a broad band of cinnamon orange at rim"
Ophelia,1,W,W,de Graaff Bros,1913-03-30,none,none,"","",""
Ophir,1,Y,Y,?Irish origin,1900-03-30,none,none,"","",""
Ophir,1,Y,Y,E.H. Krelage & Son,1930-03-30,none,none,‘Glory of Leiden’,‘Big Ben’,""
Optimus,8,Y,O,"",1798-03-30,none,none,"","",""
Opulence,2,Y,Y,W.F.M. Copeland,1913-03-30,none,none,‘King Alfred’,‘Weston’,Fl. golden yellow; perianth segments broad
Opulence,1,Y,Y,R. Dick,1938-03-30,none,none,"","","Perianth segments of smooth texture; corona deep yellow, rim flanged"
Opulent,1,Y,Y,S.C. Gaspar,1949-03-30,none,none,‘Sincerity’,‘Royalist’,"Perianth segments broadly ovate, sulphur yellow"
Oracle,9,W,OOR,G.H. Engleheart,1908-03-30,none,none,"","","Fl. 67 mm wide; perianth segments white, with cream at base, reflexed, of thick texture, overlapping half; corona very shallow bowl-shaped, buffy orange, shading to dark orange-red at rim. Mid-season to late"
Oran,3,W,YYO,J.L. Richardson,1944-03-30,none,none,‘Seraglio’,‘Sunstar’,"Perianth segments snowy white, of thick and waxy texture; corona almost disc-shaped, pale citron, with a broad band of reddish orange at rim"
Orana,2,Y,R,W. Jackson Jr,1950-03-30,none,none,‘Dunkeld’,‘Redlands’,""
Orange Eye,3,Y,O,The Brodie of Brodie,1908-03-30,none,none,‘Princess Mary’,9 W-R,"Perianth segments creamy yellow; corona disc-shaped, apricot orange"
Snowshill,2,W,W,J.M. de Navarro,1949-03-30,none,AM(e)  1957 AM(e)  1963 *AM(g)  1988 ,‘May Molony’,‘Chinese White’,"Fl. 95 mm wide; perianth segments very broadly ovate, blunt, slightly mucronate, spreading, plane, with margins sometimes incurling at apex; the inner segments more narrowly ovate, shouldered at base; corona ribbed, with a touch of deep green at base, mouth expanded, regularly and loosely frilled. 2n=28"
Bazelman,8,Y,Y,"",1780-03-30,none,none,"","",Fl. pale yellow
Orange Joy,2,W,YOO,G. Lubbe & Son,1948-03-30,none,AM Haarlem  1948 ,"","",""
Orangeman,2,W,O,G.H. Engleheart,1907-03-30,none,none,"","","Perianth segments creamy white, reflexed; corona expanded, rich orange"
Oranique,2,W,YYO,"",1963-03-30,none,none,"","",""
Orbita,2,W,O,R.H. Bath,1929-03-30,none,none,"","",Perianth segments creamy white; corona scarlet-orange
Orchid,11,W,Y,"",,none,none,"","",""
Organdy,2,W,P,Oregon Bulb Farms,1950-03-30,none,none,"","",""
Oriana,1,W,Y,Barr & Sons,1904-03-30,none,none,"","",Corona soft canary yellow
Oriflamme,3,W,O,G.H. Engleheart,1897-03-30,none,AM 1898 ,"","",Fl. rounded; perianth segments creamy white; corona scarlet-orange. Mid-season
Orion,1,Y,Y,H.J. Poole Sr,1927-03-30,none,none,"","",""
Orissa,3,Y,YYO,J.L. Richardson,1943-03-30,none,none,‘Seraglio’,‘Aviemore’,"Perianth segments bright yellow; corona very shallow bowl-shaped, yellow, with a broad band of bright reddish orange at rim"
Orlando,1,W,Y,Sir A.P.W. Thomas,1914-03-30,none,none,"","",Perianth segments lightly twisted; corona soft yellow
Orlando,2,Y,O,Unknown origin,1939-03-30,none,none,"","",""
Ormeau,2,Y,Y,W.J. Dunlop,1949-03-30,none,*AM(g)  1967 *FCC(g)  1971 AGM 1993 ,‘Pilgrimage’,‘Cromarty’,"Fl. 109 mm wide; perianth segments brilliant yellow 7A, overlapping; corona deep golden yellow, with mouth expanded, rim flanged and crenate. 2n=28"
Ormley,2,Y,R,W. Jackson Jr,1953-03-30,none,none,‘Chungking’,‘Magherally’,""
Ormolu,1,Y,Y,"",,none,none,"","","Perianth segments rich lemon yellow, overlapping; corona buttercup yellow, frilled. Mid-season"
Ormolu,3,W,O,P.D. Williams,1910-03-30,none,none,"","","Perianth segments opening pale lemon, becoming sulphur white; corona shallow, bright reddish orange"
Ornament,3,Y,O,G.H. Engleheart,1913-03-30,none,none,"","","Perianth segments soft primrose yellow; corona ribbed, scarlet-orange"
Orono,1,W,Y,E.C. Powell,1947-03-30,none,none,"","",""
Orontes,2,Y,O,R.V. Favell,1946-03-30,none,none,‘Pentreath’,‘Fortune’,""
Orphan,2,W,WWO,J.N. Hancock & Co.,1949-03-30,none,none,"","",Perianth segments creamy white; corona with orange at rim
Ortona,2,Y,O,J.N. Hancock & Co.,1949-03-30,none,none,"","","Perianth segments rich yellow; corona pale orange, frilled"
Ortona,3,W,GOO,J.L. Richardson,1944-03-30,none,none,‘Mitylene’,‘Coronach’,"Perianth segments very broad in outline, blunt or rounded at apex, prominently mucronate, pure white, spreading, plane, of good substance, overlapping half; the inner segments less noticeably mucronate, a little inflexed; corona broad, very shallow, heavily ribbed, intense reddish orange, with green at base. Late. 2n=28"
Orwell,2,Y,O,M.P. Williams,1949-03-30,none,none,"","",Perianth segments soft yellow; corona rich scarlet-orange
Osage,3,W,W,E.C. Powell,1949-03-30,none,none,"","",""
Osella,2,Y,Y,S.J. Bisdee,1940-03-30,none,none,‘Golden Queen’,‘Crocus’,""
Osiris,1,W,Y,Barr & Sons,1903-03-30,none,none,"","","Perianth segments creamy white; corona broad, flared, canary yellow, lightly frilled"
Oslo,2,W,W,A.M. Wilson,1934-03-30,none,none,‘Nelly’,‘Beersheba’,Fl. pure white; perianth segments of strong substance; corona flared
Osman,1,Y,Y,J.N. Hancock & Co.,,none,none,"","",""
Osprey,2,W,Y,J.C. Williams,1915-03-30,none,none,"","","Fl. about 89 mm wide, of great substance; perianth segments rounded at apex, pure white, with margins wavy; corona short, strongly ribbed, opening citron yellow, soon becoming paler in tone, with mouth widely expanded, rim flanged"
Oswega,2,W,Y,de Graaff Bros,1948-03-30,none,AM Haarlem  1948 ,"","",Corona lemon yellow
Otahuna,1,W,Y,Hon. Sir R.H. Rhodes,1914-03-30,none,none,"","",Perianth segments irregular; corona creamy yellow
Othello,2,Y,Y,de Graaff Bros,1931-03-30,none,AM Haarlem  1931 ,"","","Perianth segments narrow, acute, sulphur yellow; corona large, widely expanded"
Otranto,3,W,OOR,J.L. Richardson,1944-03-30,none,none,‘Seraglio’,‘Red Sun’,"Fl. rounded, more than 102 mm wide; perianth segments very broad in outline, rounded or truncate at apex, more or less prominently mucronate, pure white, slightly reflexed, overlapping half; the inner segments narrower, more nearly spreading, with margins wavy; corona shallow, split to base, the six segments in two deeply overlapping whorls of three, alternate to the perianth segments, loosely ribbed, gold, shading to deep red at rim, frilled. Late"
Otto,8,Y,Y,"",1798-03-30,none,none,"","",Fl. pale yellow
Ottoman,8,Y,Y,"",1798-03-30,none,none,"","",Fl. sulphur yellow
Outcrop,1,Y,Y,J.N. Hancock & Co.,,none,none,"","",""
Outpost,1,Y,Y,G.H. Engleheart,1903-03-30,none,none,‘Emperor’ hybrid,"",Perianth segments sulphur yellow; corona canary yellow. Resembles an earlier and larger-flowered `Emperor' of paler colour
Outrider,1,Y,Y,G.H. Engleheart,1930-03-30,none,*(Kirton)HC(g)  1935 ,"","","Fl. 108 mm wide, golden yellow; perianth segments broadly ovate, blunt, very slightly mucronate, inflexed, twisted, creased, overlapping at base only; corona cylindrical, smooth, frilled, rim widely flanged and deeply notched, with margins recurved. Dwarf to standard. Early to mid-season"
Overseer,1,Y,Y,G.L. Wilson,1940-03-30,none,none,‘Lemon Weardale’ x ‘The Perfect Gentleman’,‘Royalist’,Fl. golden yellow
Ozan,2,W,Y,P.D. Williams,1916-03-30,none,AM(e)  1916 ,"","","Corona tightly ribbed, pale yellow"
Pace,2,Y,O,"",,none,none,"","",""
Pacemaker,2,Y,O,S.C. Gaspar,1950-03-30,none,none,"","",Fl. 95 mm wide; perianth segments golden yellow; corona deep reddish orange. Early
Pacific,1,W,W,de Graaff-Gerharda,1926-03-30,none,*HC(g)  1936 *AM(g)  1946 AM Haarlem  1926 ,"","","Perianth segments broadly ovate, scarcely mucronate, creamy white, a little inflexed, with margins wavy, overlapping half; the inner segments with margins more heavily waved; corona cylindrical, smoothly ribbed, tinged sulphur yellow, with mouth flared and rim rolled and crenate. Mid-season. 2n=30"
Pactolus,1,Y,Y,S. Morrison,1936-03-30,none,none,"","",Fl. rich yellow
Padua,1,W,W,G.H. Engleheart,1907-03-30,none,none,"","",""
Padua,2,Y,O,"",1956-03-30,none,none,"","",Perianth segments rich yellow; corona yellow-orange
Pageant,2,Y,R,A.M. Wilson,1948-03-30,none,none,‘Fortune’ hybrid,‘Senegal’,Corona vivid red
Pagoda,2,W,O,G.L. Wilson,1952-03-30,none,none,‘Red Hackle’,‘Cairo’,Perianth segments ivory; corona scarlet-orange
Paladin,1,Y,Y,The Brodie of Brodie,1908-03-30,none,none,‘Santa Maria’,‘Weardale Perfection’,Fl. deep yellow; perianth segments slightly twisted
Palamedes,8,Y,Y,"",1807-03-30,none,none,"","",Fl. sulphur yellow
Pale Moon,1,W,Y,"",,none,none,"","",""
Palermo,2,Y,O,P.D. Williams,1916-03-30,none,AM(e)  1916 ,"","",Perianth segments yellow; corona reddish orange
Palestine,2,Y,YOO,J.L. Richardson,1950-03-30,none,none,‘Carbineer’ open pollinated,"","Perianth segments deep lemon yellow; corona bright reddish orange, with a sharply defined band of gold at base"
Pallas,8,W,O,"",1798-03-30,none,none,"","",""
Palma,2,W,O,The Brodie of Brodie,,none,none,‘Princess Mary’,‘Gallipoli’,""
Palmino,1,Y,Y,A.H. Ahrens,1949-03-30,none,AM(e)(NZ) 1959,‘Royalist’,‘Crocus’,""
Palmy Days,2,Y,O,W.M. Spry,1967-03-30,none,none,’Stanley Mann’,’Golden Valley’,""
Paloma,3,W,GYR,W.H. Roes�,,none,none,‘Estrella’,‘Merlin’,""
Pamela,1,W,W,T. Buncombe,1934-03-30,none,none,"","",""
Pamela,8,W,O,"",,none,none,"","",""
Pamlea,2,W,W,J.N. Hancock & Co.,,none,none,"","",""
Panama,1,W,Y,G. Lewis,1950-03-30,none,none,"","",Perianth segments of waxy texture; corona lemon yellow
Panama,2,Y,OOR,A.M. Wilson,1930-03-30,none,none,"","","Perianth segments deep yellow, overlapping; corona orange, with red at rim"
Panamint,3,W,YYO,Oregon Bulb Farms,1951-03-30,none,none,‘Glad Boy’,‘John Evelyn’,""
Panda,2,W,W,P.D. Williams,1948-03-30,none,none,"","",""
Pandora,3,W,YYO,C. Dawson,1912-03-30,none,AM Haarlem  1915 ,‘Lulworth’,‘Horace’,"Fl. facing slightly downwards; perianth segments tinged sulphur yellow; corona shallow, expanded, ribbed, buff yellow, shading to pale orange at rim"
Pango,8,W,Y,A. Gray,1949-03-30,none,none,{N. dubius},‘John Evelyn’,"Fls occasionally 2 per stem; perianth segments broadly ovate, blunt, mucronate, opening yellow, very quickly becoming creamy white, reflexed, with margins incurling, overlapping one-third to a half; the inner segments more narrowly ovate, with margins more deeply incurved; corona cup-shaped, ribbed, soft yellow, with mouth straight, wavy, rim entire or slightly notched"
Pansy,3,W,O,"",1956-03-30,none,none,"","",Corona reddish orange
Panther,3,W,O,P.D. Williams,1929-03-30,none,none,"","",Perianth segments creamy white; corona reddish orange
Papoose,7,W,W,C.R. Wootton,1950-03-30,none,none,‘Evening’,{N. jonquilla},"Fls 2-3 per stem; corona narrow, opening pale creamy yellow, becoming creamy white. Mid-season to late"
Paprika,3,W,R,J.L. Richardson,1939-03-30,none,none,‘Folly’,‘Hades’,"Perianth segments acute, snowy white, somewhat reflexed at apex; corona very shallow bowl-shaped, bright brick red"
Papyrus,9,W,YYO,G.H. Engleheart,1926-03-30,none,AM(c)(m)  1926 FCC(c)  1932 ,"","","Fl. rounded; perianth segments very broad, squarish at apex, fairly prominently mucronate, white, with lemon at base, spreading, with margins a little wavy, with broad midrib showing, overlapping two-thirds; corona very shallow, closely ribbed, yellow, with green in tube and a band of reddish orange at rim"
Paradoxus,1,W,Y,"",,none,none,"","",""
Paramount,2,Y,O,F.H. Chapman,1926-03-30,none,AM(e)  1926 ,‘Crimson Brand’ hybrid,"","Perianth segments broadly ovate, blunt, soft yellow, spreading, plane, overlapping one-third; the inner segments a little narrower, with margins wavy; corona bowl-shaped, broad, loosely ribbed, deep orange, mouth even, rim split and overlapping in places, minutely notched"
Parcpat,7,Y,O,M.P. Williams,1937-03-30,none,none,"","",2n=21
Paricutin,2,Y,R,G.E. Mitsch,1952-03-30,none,none,‘Klingo’,‘Ardour’,"Perianth segments golden yellow; corona disc-shaped, bright red. Mid-season"
Paris,1,Y,Y,R.H. Bath,1915-03-30,none,none,"","",Fl. rich yellow; corona with rim flanged
Paris,2,W,W,Alister Clark,1950-03-30,none,none,"","",""
Park Royal,2,Y,YYR,A. Gibson,1951-03-30,none,PC(e)(NZ) 1953AM(e)(NZ) 1957,"","",""
Parnach,2,W,P,A.O. Roblin,1957-03-30,none,none,‘Roseum’ hybrid,"",""
Parnassus,1,W,Y,R.H. Bath,1910-03-30,none,none,"","",Corona lemon yellow
Parnassus,8,Y,Y,"",1851-03-30,none,none,"","",""
Parth,1,W,W,P.D. Williams,1927-03-30,none,*C(g)  1927 ,"","",""
Party Pink,2,W,P,J.N. Hancock & Co.,,none,none,"","",""
Passe Juno,8,Y,Y,"",1798-03-30,none,none,"","",Fl. golden yellow
Passetout,8,Y,Y,"",1807-03-30,none,none,"","",""
Pastorale,2,Y,WWY,G.E. Mitsch,1954-03-30,none,none,‘Binkie’,‘King of the North’ x ‘Content’,"Fl. 108 mm wide; perianth segments broad, pale lemon yellow, slightly reflexed, deeply overlapping; corona opening with a suffusion of buffy apricot, becoming sulphur white, with lemon yellow at rim. Mid-season. Resembles a taller `Fawnglo' with a reflexed perianth"
Pathan,2,Y,O,A.M. Wilson,1944-03-30,none,none,‘Seraglio’,2 Y-R,Perianth segments overlapping; corona deep reddish orange
Patria,1,W,Y,Warnaar & Co.,1938-03-30,none,*AM(g)  1956 AM Haarlem  1938 ,"","","Fl. 121 mm wide; perianth segments creamy white, slightly twisted, overlapping half; corona vivid yellow 9A, with mouth widely expanded and frilled, rim flanged and dentate. Dwarf"
Patriarch,2,W,O,J.W.A. Lefeber,1945-03-30,none,none,"","","Corona shallow, tangerine orange, with mouth frilled"
Patricia,1,W,W,J.W. Barr,1930-03-30,none,none,"","",""
Patricia,4,W,R,Murray W. Evans,,none,none,"","",""
Paulhan,3,W,YYO,?Barr & Sons,1913-03-30,none,none,"","","Corona widely expanded, clear lemon yellow, with fiery reddish orange at rim"
Pauline,2,W,O,West & Fell,1935-03-30,none,none,"","","Perianth segments creamy white; corona expanded, orange"
Pawnee,1,W,Y,E.C. Powell,1946-03-30,none,none,‘Nevis’,‘Bodilly’,""
Pawtella,1,W,P,K.J. Heazlewood,,none,none,‘Rosedale’,‘Pink Bonnington’,""
Pax,1,W,W,A.O. Roblin,1950-03-30,none,none,‘Zamira’,‘National’,""
Pax,2,W,Y,Mrs R.O. Backhouse,1916-03-30,none,none,"","","Corona large, primrose yellow, flushed apricot pink"
Peach,3,W,O,G.H. Engleheart,1897-03-30,none,none,"","","Fl. star-shaped; perianth segments ovate, spreading, some with margins wavy, separated; corona deep cup-shaped, ribbed, apricot orange, paler at base, mouth straight and loosely frilled. Mid-season"
Pearl,3,W,W,"",1950-03-30,none,none,"","",Corona faintly tinged lemon yellow
Pearl Buck,2,W,W,C.G. van Tubergen,1948-03-30,none,none,"","",""
Pearlax,11,W,Y,"",,none,none,"","",""
Pearly Gem,2,W,W,J.T. Gray,1950-03-30,none,none,"","",""
Pecousic,1,W,W,E.C. Powell,1946-03-30,none,none,‘Mrs Ernst H.Krelage’,‘Winsome’,""
