cultivar,registered,perianth,corona,orig_name,date,synonym,awards,seed_parent,pollen_parent,description
"Sprite","1","W","W","?A. Gray","pre1972","none","none","","","Corona white or very pale primrose"
"Sprite","3 (b or c)","W","","J. Mallender","pre1914","none","none","","",""
"Spritely","2 (b)","W","P","T.H. Piper","","none","none","‘Nina’","‘Dear Me’",""
"Spry","2 (a)","Y","R","G.L. Wilson","pre1950","none","none","‘Indian Summer’","‘Carbineer’","Perianth segments clear yellow; corona almost blood red"
"Spun Gold","2 (a)","","","Mrs R.S. Cobley","pre1932","none","none","","",""
"Squib","2 (a)","Y","","G.H. Johnstone","pre1950","none","none","","",""
"Srinigar","2 (a)","Y","Y","W.A. Grace","pre1927","none","none","","",""
"Stability","2 (b)","W","Y","G.L. Wilson","pre1923","none","none","‘Princess Mary’","‘Vestal Virgin’","Perianth segments spreading, of good substance, overlapping; corona pale primrose. Very late"
"Stadium","2 (b)","W","Y","J.L. Richardson","pre1948","none","*AM(g)  1953 AM Haarlem  1967 ","","","Fl. 115 mm wide; perianth segments broadly ovate, blunt, mucronate, greenish white (1D), spreading, plane, with margins slightly incurving, regular, overlapping half; the inner segments somewhat twisted or inflexed; corona very short funnel-shaped, smooth or slightly ribbed, vivid yellow 9B, with mouth widely expanded and frilled, rim deeply notched and crenate, with margins flanged. 2n=28"
"Stalwart","1 (a)","","","Sir A.P.W. Thomas","pre1930","none","none","","",""
"Stamboul","3 (b)","W","YYR","The Brodie of Brodie","pre1925","none","none","‘Mozart’","‘Gallipoli’","Perianth segments of thick substance; corona large, bright yellow, with a broad band of bright red at rim"
"Stand By","1","W","Y","","","none","none","","",""
"Standard","1 (a)","Y","Y","C.G. van Tubergen","pre1927","none","none","","","Fl. 120 mm wide; perianth segments pale lemon, overlapping one-third; corona buttercup yellow, with mouth expanded. Mid-season"
"Standby","2 (a)","","","E.T. England","pre1938","none","none","","",""
"Standfast","1 (a)","Y","Y","A.M. Wilson","pre1957","none","none","","","Fl. clear yellow; corona with mouth slightly flared"
"Standfast","9","","","G.H. Engleheart","pre1930","none","none","","",""
"Stanfield","1 (a)","Y","Y","","pre1891","none","none","","",""
"Stanley","2 (b)","W","Y","W. Backhouse","pre1890","none","none","","","Corona straight-sided"
"Stanza","9","","","G.H. Engleheart","pre1914","none","none","","",""
"Stapleton","9","","","N.Y. Lower","pre1929","none","none","","",""
"Star King","3 (b)","W","","de Graaff Bros","pre1948","none","none","","",""
"Star Plane","2 (b or c)","W","","C. Goodson","pre1933","none","none","","",""
"Stardance","3 (b)","W","","de Graaff Bros","pre1948","none","none","","",""
"Stardust","3 (c)","W","W","G.L. Wilson","pre1942","none","none","’Silver Plane’","’Silver Coin’","Corona shallow, fluted, frilled"
"Starfish","3 (a)","","","de Graaff Bros","pre1897","none","none","","",""
"Stargazer","1","Y","GYY","","","none","none","","",""
"Stargazer","2 (c)","W","W","Mrs P.M. Davis","pre1948","none","none","","",""
"Starlight","8","W","R","J. Veitch & Sons","pre1907","none","none","","","Corona disc-shaped, scarlet"
"Starling","3 (b)","W","","Sir C.H. Cave","pre1908","none","none","","",""
"Starshell","3 (a)","","","Hon. Mrs Petre","pre1934","none","none","","",""
"Startler","2 (b)","W","","J. Bankhead","pre1950","none","none","","",""
"Starvell","2 (b)","W","Y","R.P. Cook","pre1949","none","none","","","Perianth segments pure white; corona expanded, greeny lemon, shading to darker tones at base, frilled"
"Statendam","1 (a)","Y","Y","de Graaff Bros","pre1929","`Etat General'","AM Haarlem  1929 ","","",""
"Statesman","2 (b)","W","","J. Bankhead","pre1950","none","none","","",""
"Statira","8","Y","Y","","pre1798","none","none","","","Fl. sulphur yellow"
"Statue","2 (b)","W","Y","J.L. Richardson","pre1938","none","PC(e)  1947 AM(e)  1947 ","‘Mitylene’","‘Fortune’","Fl. 124 mm wide; perianth segments fairly broad, smooth; corona funnel-shaped, brilliant greenish yellow 6C, frilled"
"Stavangar","1 (a)","Y","Y","J.N. Hancock & Co.","","none","none","","","Fl. bright yellow"
"Staveley","1 (a)","","","J.O. Sherrard","pre1950","none","none","","",""
"Stay Sail","2 (b)","W","","E.M. Crosfield","pre1916","none","none","","",""
"Stella","2 (b)","W","Y","W. Backhouse","pre1869","Incomparabilis Albus `Stella'","none","","","Fl. star-shaped; perianth segments ovate, acute, fairly prominently mucronate, spreading or a little inflexed, sometimes twisted or with margins wavy or incurled, separated or only slightly overlapping; corona long cup-shaped, ribbed, with mouth straight, loosely frilled. Early or very early"
"Stellatus","0","","Y","?E.Leeds","pre1877","Incomparabilis Albus `Stellatus'","none","","",""
"Stellatus","1","Y","Y","","","none","none","","",""
"Stellatus","2","Y","Y","","","none","none","","",""
"Stellatus","3","W","Y","","","none","none","","",""
"Stentor","1 (a)","Y","Y","G.B. van Rhijn","pre1953","none","none","","",""
"Stephanie","2 (a)","Y","GGR","A.M. Wilson","pre1948","none","none","","","Fl. rounded; perianth segments creamy primrose, of thick substance; corona disc-shaped, greenish, with intense red at rim"
"Sterill","2 (a)","Y","R","H. Selkirk","pre1927","none","none","","",""
"Sterling","1 (a)","Y","Y","R.L. Thornton","pre1930","none","none","","",""
"Steyning","2 (b)","W","YYO","Sir F.C. Stern","pre1948","none","none","","","Corona disc-shaped, yellow, with a line of orange at rim"
"Stheno","2 (a)","","","A.M. Wilson","pre1916","none","none","","",""
"Stillwood","2","W","P","K.J. Heazlewood","c. 1967","none","none","‘Sellada’","‘Roseum’",""
"Stilton","9","W","YYR","E.B. Champernowne","pre1909","none","none","","","2n=28"
"Stirling","1 (a)","Y","Y","J.L. Richardson","c. 1956","none","none","‘Beacon’","‘Pilgrimage’ hybrid",""
"Stocken","3 (b)","W","","A.M. Wilson","pre1950","none","none","","","2n=21"
"Stockwell","1 (a)","","","G.P. Haydon","pre1910","none","none","","",""
"Stoic","0","Y","O","C.O. Fairbairn","pre1940","none","none","","","Perianth segments old gold; corona cup-shaped, with rounded sides, orange"
"Statesman","2 (a)","Y","O","H.A. Brown","pre1949","none","none","","","Corona pale orange, with a deeper tone at rim, neatly frilled"
"Statesman","2 (a)","Y","Y","J.T. Gray","pre1949","none","none","","","Fl. large, deep yellow"
"Stoic","2 (b)","W","","J.L. Richardson","pre1939","none","none","","",""
"Stoke","5","Y","Y","P.D. Williams","pre1934","none","none","","",""
"Stoker","3 (b)","W","","W. Balch","pre1933","none","none","","",""
"Stolberg","2 (c)","W","W","C.G. van Tubergen","pre1914","none","*HC(g)  1930 *HC(g)  1936 FCC Haarlem  1914 ","","","Fl. facing slightly downwards; perianth segments pure white, overlapping; corona opening pale primrose yellow, becoming creamy white, frilled. Mid-season"
"Stonechat","2 (b)","","","","pre1950","none","none","","",""
"Stonechat","3 (a)","Y","R","G.H. Engleheart","pre1903","none","none","","","Fl. star-shaped; perianth segments yellow, overlapping; corona scarlet"
"Stonecote","3 (a)","","","A.M. Wilson","pre1950","none","none","","",""
"Stoplight","2 (b)","W","","Warnaar & Co","pre1943","none","none","","",""
"Storeen","9","W","YYO","P.D. Williams","pre1928","none","none","","",""
"Stormcock","1 (a)","Y","Y","E.B. Champernowne","pre1933","none","none","","","Early"
"Stornoway","1 (a)","","","Barr & Sons","pre1927","none","none","","",""
"Stout Lad","2 (a)","Y","Y","G.L. Wilson","pre1941","none","*AM(g)  1953 ","‘Faithful’ hybrid","","Fl. 95 mm wide; perianth segments light greenish yellow 4B, with margins slightly incurving, overlapping half; corona vivid yellow 13A, mouth a little expanded, frilled, rim slightly reflexed, dentate"
"Stowaway","2 (a or b)","","","J.N. Hancock & Co.","pre1949","none","none","","",""
"Straight","1 (b)","W","Y","P. van Deursen","pre1938","none","*AM(g)  1956 *FCC(g)  1962 AM Haarlem  1938 ","","","Fl. 108 mm wide; perianth segments creamy white, with margins incurving, overlapping one-third; corona vivid yellow 9A, smooth, mouth expanded and frilled, rim reflexed and dentate. 2n=28"
"Stralmak","0","","","New Zealand origin","pre1940","none","none","","",""
"Stranger","3 (b)","W","WWO","J.N. Hancock & Co.","pre1949","none","none","","","Perianth segments cream; corona cream, with orange at rim"
"Strathern","0","","P","?E.W. Philpott","pre1959","none","none","","",""
"Stratus","1 (a)","","","G.H. Engleheart","pre1923","none","none","","",""
"Stresa","1 (c)","W","W","P. van Deursen","pre1938","none","none","‘Imperator’","‘Roxane’",""
"Stretto","3 (b)","W","","W.A. Grace","pre1938","none","none","","",""
"Strigil","2 (a)","Y","Y","G.H. Engleheart","pre1930","none","*AM(g)  1930 ","","","Fl. 86 mm wide; perianth segments sulphur, suffused lemon yellow, overlapping half; corona pale buttercup yellow, with mouth expanded. Mid-season to late"
"Striking","9","","","de Graaff Bros","pre1927","none","AM Haarlem  1935 ","","",""
"Stringbow","2","W","Y","","","none","none","","",""
"Striver","0","","P","Alister Clark","pre1948","none","none","","",""
"Stromboli","3 (b)","W","","N.Y. Lower","pre1913","none","none","","",""
"Strongbow","2 (b)","W","Y","G.H. Engleheart","pre1898","none","AM 1899 AM 1903 ","","","Perianth segments broad, snow white, overlapping; corona expanded, rich yellow"
"Strophe","3 (b or c)","W","","W.B. Hartland","pre1913","none","none","","",""
"Stuart","1 (b)","W","","","pre1938","none","none","","",""
"Study","2 (a)","","","Sir C.H. Cave","pre1928","none","none","","",""
"Sturry","2 (a)","","","F.D.B. Cobb","pre1954","none","none","","",""
"Stylist","0","","","New Zealand origin","pre1940","none","none","","",""
"Stylita","3 (b)","W","","G. Haver","pre1938","none","AM Haarlem  1938 ","","",""
"Styx","3 (a)","","","de Graaff Bros","pre1927","none","none","","",""
"Substance","2 (b)","W","","L. van Leeuwen & Son","pre1931","`Reliance'","none","","",""
"Successor","1 (a)","Y","Y","de Graaff Bros","pre1943","none","none","","",""
"Suda","2 (b)","W","Y","The Brodie of Brodie","c.1921","none","AM(e)  1927 ","‘Nevis’","‘Lord Kitchener’","Perianth segments broadly ovate, blunt, prominently mucronate, pure white, spreading, with margins incurling at apex and recurved at base, of good substance, overlapping one-third to a half; the inner segments somewhat inflexed, with margins wavy; corona funnel-shaped, opening primrose yellow, becoming pinkish yellow, with mouth widely expanded and even, rim shallowly crenate"
"Sudan","2 (a)","Y","R","J.L. Richardson","pre1937","none","none","‘Tregoose’","‘Hades’","Perianth segments deep greenish lemon yellow; corona ruby red. 2n=28"
"Suffren","4","Y","Y","A.J. Bliss","pre1931","none","none","‘Emperor’","‘Telamonius Plenus’","Fl. 76 mm wide, bright buttercup yellow. Mid-season to late"
"Suffride","1 (a)","","","de Graaff Bros","pre1923","none","none","","",""
"Sugar Plum","0","","P","Alister Clark","pre1948","none","none","","",""
"Sugarbush","7","W","YYW","A. Gray","pre1954","none","*AM(p)  1986 ","{N. jonquilla}","‘John Evelyn’ x ‘Red Cross’","Fls 1-2 per stem, 65 mm wide, opening yellow; perianth segments broadly ovate, prominently mucronate, becoming ivory white, spreading or a little inflexed, with margins incurling, overlapping half; the inner segments more nearly roundish, less noticeably mucronate, with margins deeply incurved; corona bowl-shaped, broadly ribbed, becoming between brilliant yellow 8A and light greenish yellow 8B, with creamy white at rim, mouth very shallowly lobed, wavy, with rim minutely notched. Mid-season. 2n=21"
"Suilven","2 (a)","","","A.M. Wilson","pre1916","none","none","","",""
"Suitor","2 (a or b)","","","J.N. Hancock & Co.","pre1949","none","none","","",""
"Sulivan","1 (b)","W","","J.W. Barr","pre1930","none","none","","",""
"Sulphur","1 (a)","Y","Y","P.D. Williams","pre1927","none","*AM(c)(g)  1927 *AM(m)  1935 *AM(g)  1936 ","‘Maximus’ hybrid","","Perianth segments broadly ovate, blunt, only very slightly mucronate, chrome yellow, slightly inflexed, somewhat twisted, with margins incurling, overlapping one-third; the inner segments narrower and more strongly twisted; corona primrose yellow, with rim widely flanged and deeply notched and dentate. Early"
"Sultan","8","W","O","","pre1846","none","none","","",""
"Sultan","1 (a)","Y","Y","G.L. Wilson","pre1931","none","none","‘Cleopatra’","‘Darius’","Fl. large, soft yellow; perianth segments very broad, smooth, overlapping; corona slender"
"Sultana","5","","","?Sir C.H. Cave","pre1914","none","none","","",""
"Sultry","2 (b or c)","W","","J.R. Pearson & Sons","pre1937","none","none","","",""
"Sumatra","2 (a)","Y","O","Warnaar & Co.","pre1939","none","AM Haarlem  1939 ","‘Fortune’","‘Tregoose’",""
"Summer","2","Y","OYO","J.W.A. Lefeber","c. 1972","none","none","‘Papillon Blanc’","‘Professor Einstein’",""
"Summit","1","Y","Y","J.N. Hancock & Co.","1955","none","none","‘Shanghai’ hybrid","","Fl. bright yellow; corona mouth expanded and frilled"
"Sun Aura","2","W","YYO","J.N. Hancock & Co.","c. 1966","none","none","‘Fortune’ hybrid","‘Ivo Fell’","Corona yellow, with bright reddish orange at rim, frilled"
"Sun Dance","1 (a)","Y","Y","G.L. Wilson","pre1936","none","none","‘Magnificence’","‘Fortune’",""
"Sun Disc","7","Y","Y","A. Gray","pre1946","none","AGM 1996 AM 2006 ","{N. rupicola}","?{N. poeticus}","Fl. rounded, 50 mm wide, self yellow or with perianth paler than corona; perianth segments very broad in outline, rounded or squarish and sometimes truncate at apex, prominently mucronate, a little reflexed, smooth, of good substance, overlapping half; the inner segments narrower, with apex rounded or retuse, not noticeably mucronate, more nearly spreading, with margins somewhat incurved; corona disc-shaped, ribbed, lightly frilled. Dwarf. 2n=14. Resembles a shorter-stemmed, self yellow 'Bobbysoxer' of less rapid increase"
"Sun Orb","1 (a)","","","Barr & Sons","pre1929","none","none","","",""
"Sun Prince","2 (a)","Y","O","J.L. Richardson","pre1951","none","none","‘Sudan’ open pollinated","","Perianth segments clear gold; corona deep orange. Resembles a smaller `Sun Chariot'"
"Sun Spot","3 (a)","","","?W.A. Watts","pre1913","none","none","","",""
"Sun Test","2 (a)","","","J.E. Exley","pre1938","none","none","","",""
"Sun Up","2 (a)","Y","R","A. Gibson","pre1927","none","none","","",""
"Sun's Eye","3 (b)","W","","G.H. Engleheart","pre1907","none","none","","",""
"Sunbeam","1 (a)","","","W.B. Hartland","pre1890","none","none","","",""
"Sunbeam","3 (b)","W","O","Mrs R.O. Backhouse","pre1901","none","none","","","Fl. small; perianth segments ovate, creamy white, tinged sulphur yellow at base; corona shallow, bright reddish orange. Resembles `Sunrise'"
"Sunbeater","2","Y","O","Mrs BenRobertson","pre1953","none","none","’Rustom Pasha’ hybrid","","Resembles an earlier and larger 'Callecita' with a rounder flower but is not so long-lasting"
"Sunblaze","2 (b)","W","","Slieve Donard Nursery Co.","pre1927","none","none","","",""
"Sunbreak","2 (a)","Y","","G.L. Wilson","pre1940","none","none","‘Killigrew’","‘Porthilly’",""
"Sunbright","2 (a)","","","G. Zandbergen-Terwegen","pre1937","none","none","","",""
"Sunburst","1 (a)","","","R.H. Bath","pre1927","none","none","","",""
"Sunburst","2 (a)","Y","","L. Buckland","pre1936","none","none","","","Corona with red at rim"
"Sunburst","11a","Y","Y","","","none","none","","",""
"Sunbury","1 (a)","","","J.T. Gray","pre1949","none","none","","",""
"Sundart","3 (b)","W","","Barr & Sons","pre1937","none","none","","",""
"Sundew","2 (a)","Y","Y","Barr & Sons","pre1915","none","none","","","Perianth segments broadly ovate, blunt, prominently mucronate, primrose yellow, spreading, plane, overlapping half; the inner segments narrower, a little inflexed, twisted; corona bowl-shaped, smooth, deep yellow, loosely frilled"
"Sundew","2 (b or c)","W","","P.D. Williams","pre1927","none","none","","",""
"Sundown","4","","","?Cartwright & Goodwin","pre1914","none","none","","",""
"Sunfish","1 (a)","","","W.F.M. Copeland","pre1908","none","none","","",""
"Sunflower","2 (a)","","","P.D. Williams","pre1907","none","none","","",""
"Sunflower","2 (b)","W","O","J.N. Hancock & Co.","c. 1977","none","none","","","Corona closely overlying the perianth, orange, with rim regularly dentate. Late"
"Sungleam","2 (a)","Y","O","Barr & Sons","pre1925","none","none","","","Fl. star-shaped; perianth segments sulphur; corona ribbed, scarlet-orange"
"Sungod","1 (a)","Y","Y","","pre1927","none","none","","",""
"Sunkist","2 (a)","Y","O","G.L. Wilson","pre1935","none","none","Sdlg 15/7","‘Cornish Fire’","Perianth segments golden yellow; corona clear reddish orange, frilled. Sunproof"
"Sunkist","2 (b)","W","","P.D. Williams","pre1937","none","AM Haarlem  1937 ","’Dactyl’","’Mystic’",""
"Sun-light","2","Y","O","E. Leeds","pre1877","Incomparabilis Leedsii `Stellatus'Incomparabilis Leedsii `Sun-light'","none","","","Fl. star-shaped; corona stained orange"
"Sunlight","8","Y","O","van Zonneveld Bros & Philippo","pre1920","none","none","","","Perianth segments dark creamy yellow; corona dark orange"
"Sunlit","2 (b)","W","","G.L. Wilson","pre1939","none","none","","",""
"Sunny Boy","2 (a)","","","Warnaar & Co.","pre1938","none","none","","",""
"Sunny Girl","2 (b)","W","YYO","","","none","none","","",""
"Sunny Jim","3 (b)","W","","W. Polman-Mooy","pre1923","none","none","","",""
"Sunny Lad","2","Y","","","pre1960","none","none","","","Perianth segments rich yellow. Tall. Early"
"Sunny Lass","3 (b)","W","YYR","C. Dawson","pre1919","none","none","","","Corona expanded, bright yellow, with a broad band of scarlet at rim"
"Sunnymead","2 (b)","W","","Barr & Sons","pre1946","none","none","","",""
"Sunpath","1 (a)","","","G.H. Engleheart","pre1927","none","none","","",""
"Sunproof","2 (a)","","","G. Zandbergen-Terwegen","pre1937","none","none","","",""
"Sun-ray","2 (a)","Y","Y","E. Leeds","pre1877","Incomparabilis Concolor `Stellatus'Incomparabilis Concolor `Sun-ray'","none","","","Perianth segments narrow, acute"
"Sunrise","3 (b)","W","YYO","Mrs R.O. Backhouse","pre1901","none","FCC 1901 AM(c)  1914 *AM(m)  1926 *AM(g)  1936 FCC Haarlem  1912 EFA Haarlem  1928 ","","","Fl. 70 mm wide, facing slightly downwards; perianth segments obovate in outline, blunt or squarish at apex, mucronate, white, with a suffusion of yellow at base and along midrib sometimes extending almost to apex, spreading, more or less plane, a little ribbed and of thin substance, somewhat irregular in form, overlapping one-third to a half; the inner segments narrower, ovate, more regular in form, only very slightly mucronate, a little inflexed, with margins wavy; corona shallow bowl-shaped, slightly ribbed, rich orange-yellow, shading to clear mid-orange at rim, mouth split in places and overlapping, rim dentate and sometimes notched. 2n=14"
"Sunset","8","Y","O","Barr & Sons","pre1889","none","AM 1899 ","","","Fls 3 or more per stem; perianth segments ovate, canary yellow, more or less spreading, sometimes twisted or with margins incurved or wavy, overlapping a quarter; corona shallow cup-shaped, ribbed, rich orange, with mouth straight and closely ribbed. Dwarf"
"Sunshade","2 (b)","W","Y","C. Goodson","pre1927","none","none","","",""
"Sunshine","1 (b)","W","Y","G.P. Haydon","pre1907","none","none","‘Glory of Leiden’","Nelsonii ‘Aurantius’","Corona rich dark yellow"
"Sunshine","2 (a)","Y","Y","A.E. Lowe","pre1927","none","none","","",""
"Sunspot","3 (a)","","","W.A. Watts","pre1923","none","none","","",""
"Sunstar","2 (a)","Y","Y","C. Goodson","pre1927","none","none","","",""
"Sunstone","1 (a)","Y","Y","A.E. Lowe","pre1927","none","none","","",""
"Suntrail","2 (a)","","","Mrs P.M. Davis","pre1948","none","none","","",""
"Sunwell","1 (a)","Y","Y","A.E. Lowe","pre1927","none","none","","",""
"Superb","1 (a)","","","G.H. Engleheart","pre1916","none","none","","",""
"Superb","2","Y","P","Mrs C.O. Fairbairn","pre1960","none","none","","",""
"Superba","1 (a)","","","de Graaff Bros","pre1927","none","none","","",""
"Superbus","1 (a)","Y","Y","E. Leeds","pre1851","Pseudonarcissus Major `Superbus'","none","","","Fl. very deep yellow; perianth segments ovate, spreading or a little inflexed, overlapping a quarter to one-third; corona cylindrical, with mouth ribbed, rim deeply notched and crenate, widely flanged"
"Superfine","1 (b)","W","","A.M. Williams","pre1948","none","none","","",""
"Superior","2 (a)","","","C.G. van Tubergen","pre1944","none","none","","",""
"Suppose","2 (b)","W","P","J.N. Hancock & Co.","1953","none","none","‘Pink Pearl’","‘Rose Bay’","Perianth segments pure white; corona opening cream, becoming bright pink"
"Suprema","8","W","","","pre1807","none","none","","",""
"Supremacy","1 (a)","Y","Y","Cartwright & Goodwin","pre1910","none","none","‘King Alfred’","‘Reverend D.R.Williamson’","Fl. pale yellow; perianth segments acute"
"Supreme","2(a)","Y","O","F. Rijnveld & Sons","pre1947","none","AM Haarlem  1947 ","","","Corona dark orange, with a deeper tone at rim, tightly frilled"
"Surcoat","2 (b or c)","W","","G.H. Engleheart","pre1914","none","none","","",""
"Surf","2 (b or c)","W","","Mrs R.S. Cobley","pre1937","none","none","","",""
"Surplice","1 (c)","W","W","D.H.L. Corrigan","pre1949","none","none","","",""
"Surprise","1 (a)","Y","Y","J. Pope","pre1904","none","AM 1904 ","","","Fl. golden yellow; corona broad, regularly frilled"
"Surprise","2 (b)","W","Y","E. Leeds","1877","Incomparabilis Albus `Surprise'","none","","","Perianth segments creamy white"
"Surprise","3 (a)","","","","","none","none","","",""
"Susan","0","","","P.D. Williams","pre1913","none","none","","",""
"Susani","3 (a)","","","Miss K. Spurrell","pre1908","none","none","","",""
"Susanna","3 (b)","W","","P.D. Williams","pre1937","none","none","","",""
"Susette","3 (b)","W","O","C. Dawson","pre1922","none","none","‘Lulworth’","‘Horace’","Perianth segments reflexed; corona almost disc-shaped, ribbed, pale scarlet-orange"
"Suvla","2 (b)","W","Y","The Brodie of Brodie","c.1923","none","none","‘Minnie Hume’ x ‘Bombastes’","sdlg SS9 (pollen from Engleheart)","Corona lemon, with a somewhat paler tone at base"
"Suwanee","2 (a)","Y","YOR","E.C. Powell","pre1946","none","none","‘Expectation’","‘Fortune’",""
"Suzon","0","W","Y","P.D. Williams","pre1913","none","none","","","Fl. 83 mm wide; perianth segments narrow, pure white; corona small, pale lemon yellow, with a greenish tinge"
"Suzy","7","Y","O","R.V. Favell","pre1954","none","AM(e)  1963 *AM(g)  1977 *FCC(g)  1979 AGM 2003 AM Haarlem  1954 FCC Haarlem  1956 ","‘Hades’","{N. jonquilla}","Fls 2-3 per stem, 62 mm wide; perianth segments ovate or broadly ovate, blunt or truncate, slightly mucronate, brilliant yellow 8A, spreading, a little concave, overlapping one-third; the inner segments narrower, with margins incurling; corona shallow bowl-shaped, ribbed, strong orange 26A, with mouth expanded and only a little frilled, rim notched and crenate. Mid-season to late. Scented. 2n=21. Closely resembles a `Susan Pearson' of more rapid increase"
"Sven Hedin","3 (b)","W","","J.W.A. Lefeber","pre1943","none","none","","",""
"Svengali","1 (b)","W","Y","Barr & Sons","pre1929","none","none","","",""
"Svetlana","2","W","O","C.R. Wootton","","none","none","‘Templemore’","‘Green Island’",""
"Swallow","3 (b or c)","W","","W. Welchman","pre1927","none","none","","",""
"Swan Neck","1?(c)","W","W","?W.B. Hartland","pre1886","none","none","","",""
"Swanaven","1","W","W","T.H. Piper","c. 1966","none","none","‘Swanlough’","‘Ave’",""
"Swandean","2 (b)","W","WWY","Sir F.C. Stern","pre1948","none","*AM(g)  1958 ","","","Fl. 95 mm wide; perianth segments creamy white, overlapping; corona ribbed, pale cream, tinged brilliant yellow 13B at rim, mouth slightly expanded, frilled, with rim dentate"
"Swanhilda","3 (b)","W","","Barr & Sons","pre1913","none","none","","",""
"Swanlough","1","W","W","T.H. Piper","pre1957","none","none","‘Swanley Perfection’ x ‘Lorinna’","‘Beersheba’ x ‘Carnlough’",""
"Swansdown","4","W","W","The Brodie of Brodie","c.1938","none","PC(e)  1940 AM Haarlem  1951 ","‘Mitylene’","‘Smyrna’","Perianth segments very broadly ovate in outline, blunt or truncate at apex, only very slightly mucronate, pure white, spreading, overlapping; corona segments numerous, clustered, short, broad, creamy white, frilled, with margins minutely dentate. Late. 2n=26"
"Swanston","1 (b)","W","","A.M. Wilson","pre1941","none","none","","",""
"Swastika","1 (a)","Y","Y","G.H. Engleheart","pre1923","none","none","","","Fl. rich orange-yellow"
"Sweet Emma","2 (b)","W","P","J.N. Hancock & Co.","1959","none","none","","",""
"Sweet Lass","2 (a)","Y","R","","pre1951","none","none","","",""
"Sweet Luck","2 (b)","W","O","G.W.E. Brogden","","none","none","","",""
"Sweet Maid","3 (b)","W","YYR","J.W. Barr","pre1926","none","none","","","Perianth segments snow white; corona yellow, with a broad band of scarlet at rim"
"Sweet Nell","2 (b)","W","Y","Barr & Sons","pre1923","none","none","‘Maggie May’","{N. poeticus} var. {recurvus}","Perianth segments very broadly ovate, rounded at apex, prominently mucronate, spreading, a little concave, overlapping half; the inner segments narrower, inflexed, with margins creased and often incurved; corona small bowl-shaped, heavily ribbed, soft primrose yellow, with mouth split in places and overlapping, frilled"
"Sweet Talk","2 (b)","W","WWP","Oregon Bulb Farms","pre1950","none","none","","",""
"Sweetmeat","3 (b)","W","","F.H. Chapman","pre1913","none","none","","",""
"Sweetness","7","Y","Y","R.V. Favell","pre1939","none","*AM(g)  1973 *FCC(g)  1983 AGM 1993 Wister Award 1993","","","Fls occasionally 2 per stem, 65 mm wide; perianth segments broadly ovate, acute, vivid yellow 9A, with white mucro, spreading, plane, smooth and of heavy substance, overlapping one-third; the inner segments with margins incurved; corona cup-shaped, of thick substance, darker in tone (14B) than the perianth, with mouth straight and wavy, rim lightly crenate. Scented. 2n=21"
"Swettry","5","","","P.D. Williams","pre1931","none","none","","",""
"Sybarite","0","","","E.M. Crosfield","pre1914","none","none","","",""
"Sybil","2 (b)","W","Y","R.H. Bath","pre1907","none","AM(g)  1926 *AM(g)  1931 ","","","Fl. 95 mm wide; perianth segments somewhat inflexed, irregular, twisted or with margins wavy, overlapping one-third; corona broad funnel-shaped, pale lemon yellow, with a darker tone at rim, frilled"
"Sycamore","8","W","Y","H. Prins","pre1919","none","AM Haarlem  1919 ","","","Corona rich golden yellow"
"Sycorax","2 (a)","Y","Y","W. Backhouse","pre1869","Incomparabilis Concolor `Sycorax'","none","","","Perianth segments narrow, acute"
"Sycorax","4","Y","O","","pre1927","none","AM Haarlem  1927 ","","","Fl. compact; perianth and other petaloid segments soft yellow; corona segments clear orange"
"Sycorax","6","Y","Y","Barr & Sons","pre1907","none","none","","","Perianth segments canary yellow, reflexed; corona rich golden yellow, with rim flared"
"Sycorax","6","","","de Graaff Bros","pre1914","none","none","","",""
"Sylko","2 (c)","W","W","Mrs M. Moorby","pre1949","none","none","","",""
"Sylph","1 (c)","W","W","G.H. Engleheart","pre1907","none","none","","",""
"Sylvania","9","","","de Graaff Bros","pre1927","`Mephistopheles'","none","","",""
"Sylvene","1 (c)","W","W","D.V. West","pre1927","none","none","","","Corona narrow, cream"
"Sylvester","1 (c)","W","W","C.G. van Tubergen","pre1927","none","none","","",""
"Sylvia","2 (c)","W","W","A.M. Wilson","pre1927","none","*AM(g)  1930 ","","","Fl. 114 mm wide, white, facing down; perianth segments inflexed, overlapping half; corona funnel-shaped, with creamy white at base. Mid-season to late"
"Sylvia","3 (b)","W","Y","W. Backhouse","pre1869","Barrii Albidus `Sylvia'","none","","","Perianth segments sulphur white"
"Sylvia","3?","W","W","G.P. Haydon","pre1904","none","none","","","Fl. small, facing down; perianth segments pure white, twisted; corona small, flushed peach pink"
"Sylviane","8","Y","Y","","pre1792","none","none","","","Fl. pale yellow"
"Symbol","1 (a)","","","R.H. Bath","pre1929","none","none","","",""
"Symmetry","3 (b)","W","YYO","G.H. Engleheart","pre1903","none","AM 1903 ","","","Perianth segments cream; corona yellow, with orange at rim"
"Symmetry","1 (a)","","","J. Hall","pre1930","none","none","","",""
"Sympathy","1 (c)","W","W","J.N. Hancock & Co.","1954","none","none","","",""
"Symphony","0","","P","Alister Clark","pre1948","none","none","","",""
"Symphony","9","","","G.H. Engleheart","pre1913","none","none","","",""
"Symposium","9","W","GYO","G.H. Engleheart","pre1923","none","none","","","Perianth segments very broad, overlapping; corona almost disc-shaped, with a narrow band of orange at rim"
